,CALSEK01_EVE001,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE005,CALSEK01_EVE002,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE004,CALSEK01_EVE005,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE002,CALSEK01_EVE003,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE009,CALSEK01_EVE007,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE001,CALSEK01_EVE010,CALSEK01_EVE014,CALSEK01_EVE017,CALSEK01_EVE016,CALSEK01_EVE018,CALSEK01_EVE011,CALSEK01_EVE012,CALSEK01_EVE013,CALSEK01_EVE015,CALSEK01_EVE019,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE011,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE012,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE017,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE019,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE015,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE013,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE016,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE018,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE014,CALSEK01_EVE046,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE053,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE057,CALSEK01_EVE045,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE054,CALSEK01_EVE044,CALSEK01_EVE051,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE059,CALSEK01_EVE041,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE051,CALSEK01_EVE048,CALSEK01_EVE043,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE050,CALSEK01_EVE049,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE058,CALSEK01_EVE050,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE064,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE056,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE061,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE062,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE063,CALSEK01_EVE052,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE060,CALSEK01_EVE047,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE055,CALSEK01_EVE037 (reversed),CALSEK01_EVE038 (reversed),GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE042 (reversed),GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE043 (reversed),GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE044 (reversed),GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE040 (reversed),GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE041 (reversed),GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE039 (reversed),GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE052,CALSEK01_EVE029 (reversed),GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE026 (reversed),CALSEK01_EVE030 (reversed),GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE030 (reversed),GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE008 (reversed),CALSEK01_EVE022,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE010,CALSEK01_EVE025,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE023,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE027,CALSEK01_EVE031,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE031,CALSEK01_EVE033,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE034,CALSEK01_EVE034,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE033,CALSEK01_EVE035,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE038,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE037,CALSEK01_EVE036,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE035,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE036,CALSEK01_EVE039,CALSEK01_EVE040,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE045,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE046,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE047,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE048,CALSEK01_EVE020,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE020,CALSEK01_EVE023,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE021,CALSEK01_EVE028,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE029,CALSEK01_EVE027,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE028,CALSEK01_EVE009,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE006,CALSEK01_EVE026,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE024,CALSEK01_EVE006,CALSEK01_EVE008 (reversed),GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE003 (reversed),CALSEK01_EVE021,CALSEK01_EVE004,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE007,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE025,CALSEK01_EVE024,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE022,CALSEK01_EVE032,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE032
CALSEK01_EVE001,,91.7293,30.8333,30.8333,33.9080,33.9080,14.5585,14.4391,26.9231,20.1521,17.7015,17.7866,17.7866,17.7632,17.8336,17.7398,17.8336,17.4373,17.4373,17.8336,17.8336,17.8336,17.8336,17.8336,17.7015,17.8336,17.7015,17.8336,17.9657,24.5283,24.5283,24.8162,24.2938,24.2938,26.1905,13.0435,21.5259,17.7489,17.7489,15.7343,14.8201,14.5324,14.5138,14.5138,14.6589,14.6589,6.6667,14.6589,14.6589,14.5138,14.2857,14.2857,0.0000,0.0000,24.5455,24.5455,24.5455,24.5455,24.5455,24.5455,24.5455,24.7706,23.5033,25.2567,24.6939,22.8571,19.8569,23.8356,21.7899,21.4008,21.3508,20.9150,30.2469,14.1129,14.5161,17.4905,16.5266,26.4916,26.4916,23.6264,23.4432,23.2601,23.2601,23.2601,23.2601,25.3968,25.3968,25.3968,25.3968,25.3968,25.3968,25.6667,25.0000,21.5613,21.7472,28.2828,27.2727,29.1525,29.1525,23.6364,23.6364,25.5230,25.1046,22.7679,17.2414,16.8103,21.0169,22.9572,22.9572,24.3961,22.7119,22.7891,22.6148,22.6148
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE005,91.7293,,30.8333,30.8333,39.2491,39.2491,15.4248,15.6863,26.9231,22.4576,19.5846,19.5266,19.5266,19.4978,19.2878,19.4690,19.4362,19.1395,19.1395,19.2878,19.2878,19.2878,19.2878,19.2878,19.1395,19.2878,19.1395,19.2878,19.4362,24.8428,24.8428,25.0482,24.2938,24.2938,26.2136,19.3548,23.1003,20.0000,20.0000,16.7832,16.6124,16.2866,18.4211,18.4211,18.5855,18.5855,0.0000,18.5855,18.5855,18.4211,22.2222,22.2222,0.0000,0.0000,25.4545,25.4545,25.4545,25.4545,25.4545,25.4545,25.4545,25.6881,23.6902,26.1959,25.8206,24.9453,21.6730,27.9365,24.1304,23.4783,21.4286,20.9677,29.6296,19.3237,19.8068,22.5225,19.9367,26.0870,26.0870,24.8544,24.8544,24.6602,24.6602,24.6602,24.6602,28.2528,28.2528,28.2528,28.2528,28.2528,28.2528,25.8462,24.9012,24.6667,24.8889,27.6596,26.5957,29.1803,29.1803,24.0476,24.0476,24.6445,25.1185,23.2143,16.2562,15.7635,22.9927,26.0274,26.0274,24.1848,24.3028,24.3028,23.6515,23.6515
CALSEK01_EVE002,30.8333,30.8333,,100.0000,33.7500,33.7500,13.8298,14.0426,27.7487,23.7500,17.8571,17.0051,17.0051,16.9620,17.3469,16.9192,17.0918,17.0918,17.0918,17.3469,17.3469,17.3469,17.3469,17.3469,17.3469,17.3469,17.3469,17.3469,17.3469,29.4574,29.4574,30.8824,25.7143,25.7143,27.8607,42.3077,32.8467,22.9927,22.9927,18.6207,23.3577,23.3577,22.9927,22.9927,23.3577,23.3577,0.0000,23.3577,23.3577,24.0876,23.7410,23.7410,0.0000,0.0000,24.5455,24.5455,24.5455,24.5455,24.5455,25.4545,24.5455,23.8532,28.3333,24.7934,23.9669,22.3140,15.7556,25.4032,28.0769,27.6923,24.0664,23.6515,32.1678,22.8972,22.4299,25.4545,25.2033,27.3077,27.3077,26.5455,26.5455,26.5455,26.5455,26.5455,26.5455,25.3788,25.3788,25.3788,25.3788,25.3788,25.3788,25.4098,26.0000,20.0000,19.6667,21.6667,20.4167,25.0000,25.0000,30.0000,30.0000,25.1163,25.1163,24.2775,16.6667,17.1429,28.6260,24.1071,24.1071,25.8687,28.3951,27.9835,28.7500,28.7500
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE004,30.8333,30.8333,100.0000,,33.7500,33.7500,13.8298,14.0426,27.7487,23.7500,17.8571,17.0051,17.0051,16.9620,17.3469,16.9192,17.0918,17.0918,17.0918,17.3469,17.3469,17.3469,17.3469,17.3469,17.3469,17.3469,17.3469,17.3469,17.3469,29.4574,29.4574,30.8824,25.7143,25.7143,27.8607,42.3077,32.8467,22.9927,22.9927,18.6207,23.3577,23.3577,22.9927,22.9927,23.3577,23.3577,0.0000,23.3577,23.3577,24.0876,23.7410,23.7410,0.0000,0.0000,24.5455,24.5455,24.5455,24.5455,24.5455,25.4545,24.5455,23.8532,28.3333,24.7934,23.9669,22.3140,15.7556,25.4032,28.0769,27.6923,24.0664,23.6515,32.1678,22.8972,22.4299,25.4545,25.2033,27.3077,27.3077,26.5455,26.5455,26.5455,26.5455,26.5455,26.5455,25.3788,25.3788,25.3788,25.3788,25.3788,25.3788,25.4098,26.0000,20.0000,19.6667,21.6667,20.4167,25.0000,25.0000,30.0000,30.0000,25.1163,25.1163,24.2775,16.6667,17.1429,28.6260,24.1071,24.1071,25.8687,28.3951,27.9835,28.7500,28.7500
CALSEK01_EVE005,33.9080,39.2491,33.7500,33.7500,,100.0000,18.9241,18.8280,24.4444,11.6822,20.2825,20.7452,19.8936,20.7243,20.6862,21.6418,21.6274,21.5203,21.5203,21.6274,21.6274,21.6274,21.6274,21.6274,21.6274,21.6274,21.6274,21.6274,21.5203,27.2436,27.2436,22.7624,27.0440,27.0440,26.0870,25.3918,23.3494,22.9769,22.9769,21.6080,20.2703,19.6911,21.5938,21.5938,21.8509,21.8509,21.7949,21.5938,21.5938,21.8509,21.3650,21.3650,22.6923,22.3077,25.4545,25.4545,25.4545,25.4545,25.4545,25.4545,25.4545,27.5229,18.6228,26.6165,26.6165,25.5489,23.3333,28.7815,23.4783,23.2406,15.9126,15.6006,27.1605,15.4023,15.4023,17.6829,20.3488,25.9582,25.9582,25.7282,25.5663,25.5663,25.4045,25.4045,25.4045,23.0000,23.0000,23.0000,23.0000,23.0000,23.0000,26.7045,25.0000,21.5659,22.1154,23.0357,22.6786,28.5714,28.5714,22.7468,23.3010,24.4681,24.6809,25.0000,20.6897,19.4131,24.1436,20.0441,20.0441,27.4476,19.4676,19.3012,26.8722,27.9006
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE002,33.9080,39.2491,33.7500,33.7500,100.0000,,18.9241,18.8280,24.4444,11.6822,20.2825,20.7452,19.8936,20.7243,20.6862,21.6418,21.6274,21.5203,21.5203,21.6274,21.6274,21.6274,21.6274,21.6274,21.6274,21.6274,21.6274,21.6274,21.5203,27.2436,27.2436,22.7624,27.0440,27.0440,26.0870,25.3918,23.3494,22.9769,22.9769,21.6080,20.2703,19.6911,21.5938,21.5938,21.8509,21.8509,21.7949,21.5938,21.5938,21.8509,21.3650,21.3650,22.6923,22.3077,25.4545,25.4545,25.4545,25.4545,25.4545,25.4545,25.4545,27.5229,18.6228,26.6165,26.6165,25.5489,23.3333,28.7815,23.4783,23.2406,15.9126,15.6006,27.1605,15.4023,15.4023,17.6829,20.3488,25.9582,25.9582,25.7282,25.5663,25.5663,25.4045,25.4045,25.4045,23.0000,23.0000,23.0000,23.0000,23.0000,23.0000,26.7045,25.0000,21.5659,22.1154,23.0357,22.6786,28.5714,28.5714,22.7468,23.3010,24.4681,24.6809,25.0000,20.6897,19.4131,24.1436,20.0441,20.0441,27.4476,19.4676,19.3012,26.8722,27.9006
CALSEK01_EVE003,14.5585,15.4248,13.8298,13.8298,18.9241,18.9241,,97.4090,13.9942,6.7985,25.3438,27.0745,27.1261,27.0042,26.5086,26.6124,26.1371,26.0692,26.0014,27.0553,27.0553,27.0553,27.0553,27.0553,26.9806,26.9806,26.9058,27.1300,27.2048,16.5766,16.5766,19.3267,22.2222,22.2222,15.0183,17.9654,15.7246,19.5811,19.5811,27.8351,20.5674,20.0946,21.8241,21.8241,21.8893,21.8893,20.8000,21.8241,21.8241,22.0195,15.4321,15.4321,21.8182,21.8182,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,21.1009,12.2576,18.8474,18.6973,14.9762,17.1001,14.8230,22.2576,21.4044,10.7393,10.8171,27.5862,9.0458,8.6741,13.4259,13.9714,15.2542,15.2542,17.1725,17.0927,17.2524,17.2524,17.2524,17.2524,15.7385,15.7385,15.7385,15.7385,15.7385,15.7385,21.1618,20.4878,20.6661,20.8369,13.8475,13.5846,15.2878,15.2878,13.6832,13.1293,14.3524,14.1190,28.1385,13.4684,13.6919,17.8092,9.8692,9.8692,18.4554,12.0079,11.9094,12.7229,11.7962
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE009,14.4391,15.6863,14.0426,14.0426,18.8280,18.8280,97.4090,,13.4111,6.4277,25.3123,27.0042,27.0528,26.9339,26.3649,26.5849,26.1077,26.0395,25.9714,27.0553,27.0553,27.0553,27.0553,27.0553,26.9806,26.9806,26.9058,27.1300,27.2048,16.7568,16.7568,19.5244,21.3333,21.3333,14.6520,17.9654,15.5190,19.2168,19.2168,26.1168,19.4313,19.0363,21.3446,21.3446,21.4099,21.4099,20.2000,21.2794,21.2794,21.4752,14.9691,14.9691,21.4545,21.4545,19.0909,19.0909,19.0909,19.0909,19.0909,19.0909,19.0909,19.2661,11.8697,19.1589,18.9272,14.8885,17.1021,14.4912,22.6550,21.8274,10.6615,10.7393,27.0115,9.4176,9.0458,13.4259,13.7514,14.8554,14.8554,17.5719,17.4920,17.6518,17.5719,17.5719,17.5719,15.4964,15.4964,15.4964,15.4964,15.4964,15.4964,21.5768,20.7317,20.1537,20.3245,14.2857,14.0228,15.2878,15.2878,13.9644,13.3268,14.2357,14.0023,29.0043,13.5876,13.9364,18.2635,9.9881,9.9881,18.3551,12.1063,12.0079,13.0797,12.3324
CALSEK01_EVE007,26.9231,26.9231,27.7487,27.7487,24.4444,24.4444,13.9942,13.4111,,100.0000,18.8462,18.7023,18.7023,18.6312,18.8462,18.5606,18.8462,19.2308,19.2308,18.8462,18.8462,18.8462,18.8462,18.8462,18.8462,18.8462,18.8462,18.8462,18.8462,22.4771,22.4771,22.4771,36.1905,36.1905,28.7770,0.0000,24.0909,23.5897,23.5897,22.7586,27.6923,27.6923,23.0769,23.0769,24.6154,24.6154,0.0000,24.6154,24.6154,24.1026,25.0000,25.0000,0.0000,0.0000,27.2727,27.2727,27.2727,27.2727,27.2727,28.1818,27.2727,27.5229,25.2809,24.1379,24.1379,22.9885,22.9885,20.6897,30.1075,30.1075,30.1676,30.1676,29.3706,25.6757,27.0270,21.4724,21.1640,27.3171,27.3171,24.8826,24.8826,24.4131,24.4131,24.4131,24.4131,22.6601,22.6601,22.6601,22.6601,22.6601,22.6601,26.2295,24.0000,23.8298,24.2553,23.5632,23.5632,23.9766,23.9766,24.2938,23.1638,23.0263,23.0263,28.3237,17.3611,16.6667,33.0097,26.8750,26.8750,28.2297,26.5537,26.5537,29.3103,29.3103
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE001,20.1521,22.4576,23.7500,23.7500,11.6822,11.6822,6.7985,6.4277,100.0000,,8.5137,8.4892,8.4892,8.4770,8.5137,8.0344,8.0808,8.2251,8.2251,8.0808,8.0808,8.0808,8.0808,8.0808,8.0808,8.0808,8.0808,8.0808,8.0808,20.5426,20.5426,10.8209,36.1905,36.1905,15.1724,2.9762,14.4231,11.7271,11.7271,22.7586,13.1403,13.3787,10.2362,10.2362,10.8268,10.8268,2.2222,10.8268,10.8268,10.6299,5.7402,5.7402,7.8431,7.8431,27.2727,27.2727,27.2727,27.2727,27.2727,28.1818,27.2727,27.5229,14.6006,13.7845,13.8889,12.5313,10.2564,10.0251,14.9220,14.9220,16.8675,16.8675,29.3706,15.3846,15.7051,13.1498,13.3144,14.7577,14.7577,15.7895,15.7895,15.5502,15.5502,15.5502,15.5502,11.7773,11.7773,11.7773,11.7773,11.7773,11.7773,26.2295,24.0000,11.9134,12.0939,13.4078,13.4078,23.9766,23.9766,13.4615,14.5161,12.2159,12.2159,28.3237,9.4595,9.1216,16.5591,14.9206,14.9206,15.9193,15.3846,15.4255,14.7849,17.6080
