eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
ATLV01_EVE001	high	100	viral (8)	VDB (5), UDB Viruses (3)	ATLV01013447.1_491-820:-	3.87e-34	50.9	glycoprotein [Anopheles bunyavirus 1] acc=BEK62754.1 	glycoprotein [Anopheles bunyavirus 1] acc=BEK62754.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Anopheles bunyavirus 1	Negarnaviricota
ATLV01_EVE002	high	100	viral (6)	VDB (4), UDB Viruses (2)	ATLV01013447.1_808-1281:-	3.1e-66	57	glycoprotein [Anopheles bunyavirus 1] acc=BEK62754.1 	glycoprotein [Anopheles bunyavirus 1] acc=BEK62754.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Anopheles bunyavirus 1	Negarnaviricota
ATLV01_EVE003	high	100	viral (21)	VDB (11), UDB Viruses (10)	ATLV01014308.1_3511-3663:+	3.48e-13	62.7	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
ATLV01_EVE004	high	100	viral (7)	VDB (6), UDB Viruses (1)	ATLV01021936.1_1025-1212:+	5.45e-18	61.9	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
ATLV01_EVE005	high	100	viral (18)	VDB (11), UDB Viruses (7)	ATLV01021936.1_1376-1716:+	2.1299999999999998e-48	72.8	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
ATLV01_EVE006	high	100	viral (18)	VDB (11), UDB Viruses (7)	ATLV01021938.1_139-612:+	9.8e-76	72.8	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
ATLV01_EVE007	high	100	viral (11)	VDB (8), UDB Viruses (3)	ATLV01022981.1_464-1017:-	4.0799999999999996e-52	64.9	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
ATLV01_EVE008	high	100	viral (2)	UDB Viruses (1), VDB (1)	ATLV01025336.1_2596-2896:-	2.08e-6	29.6	Nucleoprotein n=2 Tax=Anphevirus  RepID=A0A8B0RJ52_9MONO	Nucleoprotein n=2 Tax=Anphevirus  RepID=A0A8B0RJ52_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__unclassified Anphevirus species	Negarnaviricota
ATLV01_EVE009	high	100	viral (1)	VDB (1)	ATLV01027368.1_635-907:+	5.71e-9	33.7	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75794.1 	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75794.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Drosophila biauraria male killing partitivirus 1	Pisuviricota
ATLV01_EVE010	high	96	viral (19), maybe-viral (1)	VDB (13), UDB Viruses (6), uncharacterized protein (1)	ATLV01019207.1_3580-4280:-	3.01e-73	54.7	polyprotein [Karumba virus] acc=YP_009388577.1 	polyprotein [Karumba virus] acc=YP_009388577.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__Karumba virus	Kitrinoviricota
ATLV01_EVE011	high	95	viral (19), maybe-viral (1)	VDB (13), UDB Viruses (5), glycoprotein protein (1), viral (1)	ATLV01019207.1_2615-3409:-	1.8099999999999996e-112	60.5	putative glycoprotein [Anopheles darlingi virus] acc=QBK47202.1 	putative glycoprotein [Anopheles darlingi virus] acc=QBK47202.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Madalivirus;s__Madalivirus amazonaense	Negarnaviricota
ATLV01_EVE012	high	95	viral (19), maybe-viral (1)	VDB (11), UDB Viruses (7), glycoprotein protein (1), virus (1)	ATLV01021281.1_878-1113:-	8.030000000000001e-21	50.6	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
ATLV01_EVE013	high	94	viral (13), maybe-viral (1)	VDB (11), UDB Viruses (2), glycoprotein protein (1)	ATLV01019207.1_1147-1368:-	3.46e-18	48.6	putative glycoprotein [Gambie virus] acc=AOR51379.1 	putative glycoprotein [Gambie virus] acc=AOR51379.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Gambievirus;s__Gambievirus senegalense	Negarnaviricota
