eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
JADFFN01_EVE001	high	100	viral (4)	VDB (3), UDB Viruses (1)	JADFFN010000001.1_15677896-15678273:+	2.21e-18	44	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
JADFFN01_EVE002	high	100	viral (3)	VDB (3)	JADFFN010000003.1_11118543-11118933:+	3.53e-12	39.1	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
JADFFN01_EVE003	high	100	viral (5)	VDB (4), UDB Viruses (1)	JADFFN010000003.1_137640-137930:+	7.52e-12	36.3	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
JADFFN01_EVE004	high	95	viral (12), maybe-viral (1)	VDB (9), UDB Viruses (3), uncharacterized protein (1)	JADFFN010000005.1_7778703-7779025:+	2.28e-22	43.9	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus	Cossaviricota
JADFFN01_EVE005	high	86	viral (6), maybe-viral (2)	VDB (4), UDB Viruses (2), hypothetical protein (1), uncharacterized protein (1)	JADFFN010000004.1_3101271-3101884:+	4.78e-93	66	capsid [Dragana partiti-like virus] acc=QRD99908.1 	capsid [Dragana partiti-like virus] acc=QRD99908.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Dragana partiti-like virus	Pisuviricota
JADFFN01_EVE006	high	76	viral (2), maybe-viral (1)	UDB Viruses (1), uncharacterized protein (1), VDB (1)	JADFFN010000002.1_49277687-49278218:+	1.07e-10	28.3	hypothetical protein [Osugoroshi virus] acc=BCP45655.1 	hypothetical protein [Osugoroshi virus] acc=BCP45655.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Osugoroshi virus	Pisuviricota
JADFFN01_EVE007	high	71	viral (7), maybe-viral (4)	VDB (6), uncharacterized protein (3), hypothetical protein (1), UDB Viruses (1)	JADFFN010000004.1_24291605-24292013:-	7.85e-21	41.2	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
JADFFN01_EVE008	high	60	maybe-viral (4), viral (4)	uncharacterized protein (3), VDB (3), hypothetical protein (1), UDB Viruses (1)	JADFFN010000005.1_7782513-7782977:+	1.89e-16	32	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Arthropoda
JADFFN01_EVE009	high	60	viral (26), maybe-viral (13), non-viral (3)	VDB (19), uncharacterized protein (8), UDB Viruses (7), annotated protein of Eukaryota (3), glycoprotein protein (3), polyprotein protein (2)	JADFFN010021932.1_85-510:-	2.34e-82	82.3	DUF5641 domain-containing protein n=1 Tax=Anopheles funestus  RepID=A0A182RZY2_ANOFN	Glycoprotein (Fragment) n=2 Tax=unclassified viruses  RepID=A0A248SLD4_9VIRU	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__unclassified Viruses species	Negarnaviricota
JADFFN01_EVE010	high	57	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	JADFFN010013780.1_273-382:-	3.94e-10	78.4	Uncharacterized protein (Fragment) n=1 Tax=Daphnia magna  RepID=A0A164IIZ0_9CRUS	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
JADFFN01_EVE011	high	56	viral (10), maybe-viral (6), non-viral (4)	viral (10), uncharacterized protein (6), annotated protein of Eukaryota (4)	JADFFN010000004.1_17085011-17085217:-	1.4599999999999998e-40	96.8	Baculoviral IAP repeat-containing protein 5 n=33 Tax=Culicidae  RepID=A0A182RG31_ANOFN	NA	NA	Arthropoda
JADFFN01_EVE012	high	53	viral (11), maybe-viral (10)	VDB (7), uncharacterized protein (5), UDB Viruses (4), glycoprotein protein (3), polyprotein protein (2)	JADFFN010003563.1_1-688:+	8.43e-114	69.6	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda
JADFFN01_EVE013	high	47	maybe-viral (9), viral (8), non-viral (3)	VDB (5), uncharacterized protein (4), annotated protein of Eukaryota (3), glycoprotein protein (3), UDB Viruses (3), polyprotein protein (2)	JADFFN010021932.1_22-513:-	1.87e-83	75.3	DUF5641 domain-containing protein n=1 Tax=Anopheles funestus  RepID=A0A182RZY2_ANOFN	putative glycoprotein [Guato virus] acc=ANW72248.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Guato virus	Arthropoda
JADFFN01_EVE014	high	46	maybe-viral (10), viral (9), non-viral (2)	VDB (6), uncharacterized protein (5), glycoprotein protein (3), UDB Viruses (3), annotated protein of Eukaryota (2), polyprotein protein (2)	JADFFN010000001.1_16178311-16179963:-	7.09e-275	68.6	uncharacterized protein LOC121592356 n=5 Tax=Cellia  RepID=UPI001BE46008	glycoprotein [Kaiowa virus] acc=ASV45863.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Kaiowa virus	Arthropoda
JADFFN01_EVE015	high	46	maybe-viral (10), viral (8), non-viral (2)	VDB (6), glycoprotein protein (4), uncharacterized protein (4), annotated protein of Eukaryota (2), polyprotein protein (2), UDB Viruses (2)	JADFFN010000004.1_40857589-40858146:+	1.51e-103	82.8	Integrase catalytic domain-containing protein n=1 Tax=Anopheles funestus  RepID=A0A182RTS4_ANOFN	glycoprotein [Gurupi chuvirus-like 2] acc=QPF16716.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 2	Arthropoda
JADFFN01_EVE016	high	46	maybe-viral (10), viral (8), non-viral (2)	VDB (6), glycoprotein protein (4), uncharacterized protein (4), annotated protein of Eukaryota (2), polyprotein protein (2), UDB Viruses (2)	JADFFN010003563.1_945-1474:+	3.02e-66	63.2	Integrase catalytic domain-containing protein n=1 Tax=Anopheles funestus  RepID=A0A182RTS4_ANOFN	glycoprotein [Gurupi chuvirus-like 2] acc=QPF16716.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 2	Arthropoda
JADFFN01_EVE017	high	46	maybe-viral (10), viral (8), non-viral (2)	VDB (6), glycoprotein protein (4), uncharacterized protein (4), annotated protein of Eukaryota (2), polyprotein protein (2), UDB Viruses (2)	JADFFN010014659.1_2-472:+	2.12e-86	79.6	DUF5641 domain-containing protein n=1 Tax=Anopheles funestus  RepID=A0A182RZY2_ANOFN	glycoprotein [Gurupi chuvirus-like 2] acc=QPF16716.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 2	Arthropoda
