sample	total_count	Partitiviridae	Orthomyxoviridae	Chuviridae	Parvoviridae	Xinmoviridae	Phasmaviridae	Phenuiviridae	Tymoviridae	unclassified	Spinareoviridae	Rhabdoviridae	Sedoreoviridae	Totiviridae	Solemoviridae	Chrysoviridae	unclassified.Bunyavirales	Flaviviridae	Virgaviridae	Tombusviridae	Picornaviridae	basepairs	eve_percentage_per_genome
JABUIU01	65	45	0	19	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	172602732	3.77E-05
JABUIV01	6	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3802539	1.58E-04
GCA_943734665.2	47	18	0	19	0	0	0	0	0	5	1	1	0	2	0	0	0	0	0	0	1	176564600	2.66E-05
CALSEH02	180	151	0	19	0	0	0	0	0	5	0	1	0	2	0	1	0	0	0	0	1	175411823	1.03E-04
GCA_963924065.2	31	2	2	22	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	252144866	1.23E-05
CAWUOX01	15	2	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144416121	1.04E-05
CAJZCY01	86	2	2	49	3	6	0	0	0	1	0	18	0	2	0	0	0	0	3	0	0	277747802	3.10E-05
CALTRM01	33	1	4	23	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	104747681	3.15E-05
GCF_943734685.1	38	7	7	18	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	262591929	1.45E-05
CALSEE01	9	0	0	5	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113471412	7.93E-06
GCF_943734705.1	547	472	3	17	6	11	3	6	5	1	0	10	2	3	0	0	3	2	2	1	0	269970552	2.03E-04
CALSDW01	131	64	2	16	4	10	4	8	1	1	0	8	1	3	0	0	3	3	2	1	0	229140800	5.72E-05
GCF_943734745.1	269	225	0	14	0	0	2	0	0	1	0	26	1	0	0	0	0	0	0	0	0	181624736	1.48E-04
CALSEC01	56	29	0	12	0	0	0	0	0	0	0	12	1	2	0	0	0	0	0	0	0	176521697	3.17E-05
GCF_943734845.2	801	694	1	73	1	4	1	0	0	0	0	3	10	8	5	1	0	0	0	0	0	250698078	3.20E-04
CALSDO01	515	428	1	47	1	3	1	0	0	0	0	3	14	12	4	1	0	0	0	0	0	226239815	2.28E-04
GCA_964033645.1	98	41	1	34	1	4	1	0	0	0	0	2	7	2	4	1	0	0	0	0	0	248370025	3.95E-05
CAWUOS01	402	344	1	31	1	4	1	0	0	0	0	2	8	9	0	1	0	0	0	0	0	135932123	2.96E-04
GCF_943734735.2	39	3	5	21	5	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	264435381	1.47E-05
CALSDS01	37	7	6	19	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	207232648	1.79E-05
GCF_943734695.1	63	22	2	15	2	1	4	3	0	0	0	12	2	0	0	0	0	0	0	0	0	224053941	2.81E-05
CALSEK01	51	13	2	11	3	1	3	3	0	0	0	13	2	0	0	0	0	0	0	0	0	215811166	2.36E-05
GCF_943734725.1	545	489	1	29	0	1	3	0	0	0	0	3	0	18	0	0	0	1	0	0	0	225707104	2.41E-04
CALSEI01	241	184	0	33	2	1	3	0	0	0	0	3	0	14	0	0	0	1	0	0	0	217350203	1.11E-04
GCF_943734755.1	867	759	1	69	1	7	4	1	0	0	0	25	0	0	0	0	0	0	0	0	0	271297023	3.20E-04
CALSED01	385	318	1	29	1	7	5	1	0	0	0	23	0	0	0	0	0	0	0	0	0	224236982	1.72E-04
GCF_943737925.1	54	8	0	9	0	0	1	2	0	2	0	11	0	3	0	0	17	1	0	0	0	195187201	2.77E-05
CALSFZ01	36	4	0	3	0	0	1	2	0	1	0	11	0	2	0	0	12	0	0	0	0	164693322	2.19E-05
GCF_943734765.1	547	472	3	17	6	11	3	6	5	1	0	10	2	3	0	0	3	2	2	1	0	269983652	2.03E-04
CALSEF01	240	163	1	20	7	11	5	5	1	1	0	10	2	5	0	0	4	2	2	1	0	224751855	1.07E-04
